Product type : SPD1305X
Product SRLN : SPD13DCQ7R0934
Product Software Version : 2.1.1.9R1
Number of channels : 1
Software Version : V1.0.2
File type: CSV
File version: 1.0
Interval : 0.5S
Date : 2025-03-25 11:10:47

Time,CH1 VOLT,CH1 CURR
313.825,30.000,0.819
314.346,30.000,0.854
314.863,30.000,0.841
315.393,30.000,0.830
315.913,30.000,0.831
316.444,30.000,0.830
316.963,30.000,0.854
317.478,30.000,0.827
318.013,30.000,0.606
318.526,30.000,0.832
319.062,30.000,0.632
319.579,30.000,0.611
320.099,30.000,0.619
320.620,30.000,0.631
321.139,30.000,0.615
321.672,30.000,0.617
322.202,30.000,0.622
322.738,30.000,0.614
323.264,30.000,0.640
323.798,30.000,0.616
324.317,30.000,0.816
324.832,30.000,0.817
325.367,30.000,0.833
325.883,30.000,0.810
326.415,30.000,0.818
326.934,30.000,0.821
327.470,30.000,0.819
327.987,30.000,0.816
328.519,30.000,0.815
329.049,30.000,0.802
329.565,30.000,0.791
330.086,30.000,0.756
330.616,30.000,0.749
331.153,30.000,0.720
331.664,30.000,0.718
332.188,30.000,0.693
332.706,30.000,0.694
333.223,30.000,0.699
333.758,30.000,0.707
334.275,30.000,0.699
334.796,30.000,0.696
335.314,30.000,0.697
335.836,30.000,0.696
336.356,30.000,0.711
336.871,30.000,0.700
337.389,30.000,0.694
337.923,30.000,0.696
338.460,30.000,0.699
338.986,30.000,0.697
339.516,30.000,0.691
340.037,30.000,0.723
340.573,30.000,0.709
341.099,30.000,0.692
341.638,30.000,0.708
342.156,30.000,0.707
342.673,30.000,0.704
343.207,30.000,0.710
343.725,30.000,0.706
344.255,30.000,0.698
344.769,30.000,0.721
345.303,30.000,0.700
345.818,30.000,0.714
346.336,30.000,0.717
346.871,30.000,0.721
347.390,30.000,0.721
347.921,30.000,0.722
348.445,30.000,0.745
348.963,30.000,0.720
349.496,30.000,0.720
350.014,30.000,0.718
350.548,30.000,0.716
351.059,30.000,0.741
351.576,30.000,0.722
352.093,30.000,0.711
352.626,30.000,0.729
353.146,30.000,0.741
353.665,30.000,0.719
354.195,30.000,0.723
354.728,30.000,0.741
355.243,30.000,0.722
355.766,30.000,0.716
356.303,30.000,0.720
356.821,30.000,0.743
357.340,30.000,0.945
357.854,30.000,0.929
358.373,30.000,0.929
358.905,30.000,0.949
359.420,30.000,0.949
359.954,30.000,0.927
360.479,30.000,0.930
361.000,30.000,0.958
361.514,30.000,0.953
362.049,30.000,0.907
362.566,30.000,0.903
363.086,30.000,0.897
363.602,30.000,0.874
364.136,30.000,0.837
364.655,30.000,0.845
365.190,30.000,0.820
365.711,30.000,0.803
366.226,30.000,0.801
366.746,30.000,0.817
367.278,30.000,0.809
367.809,30.000,0.829
368.332,30.000,0.809
368.850,30.000,0.811
369.368,30.000,0.803
369.885,30.000,0.824
370.403,30.000,0.813
370.938,30.000,0.806
371.453,30.000,0.837
371.986,30.000,0.811
372.506,30.000,0.814
373.025,30.000,0.806
373.546,30.000,0.826
374.062,30.000,0.818
374.596,30.000,0.823
375.126,30.000,0.818
375.660,30.000,0.817
376.190,30.000,0.845
376.711,30.000,0.823
377.242,30.000,0.815
377.759,30.000,0.806
378.273,30.000,0.813
378.793,30.000,0.912
379.313,30.000,0.831
379.846,30.000,0.844
380.363,30.000,0.831
380.881,30.000,0.831
381.400,30.000,0.838
381.917,30.000,0.020
382.435,30.000,0.044
382.966,30.000,0.865
383.497,30.000,0.871
384.015,30.000,0.864
384.531,30.000,0.882
385.050,30.000,0.862
385.586,30.000,0.862
386.118,30.000,0.857
386.648,30.000,0.858
387.180,30.000,0.879
387.696,30.000,0.855
388.232,30.000,0.847
388.746,30.000,0.855
389.260,30.000,0.848
389.799,30.000,0.855
390.316,30.000,1.060
390.850,30.000,1.081
391.367,30.000,1.057
391.887,30.000,1.058
392.406,30.000,1.059
392.925,30.000,1.082
393.442,30.000,1.067
393.975,30.000,1.059
394.511,30.000,1.046
395.026,30.000,1.009
395.560,30.000,1.048
396.076,30.000,0.994
396.599,30.000,1.002
397.126,30.000,0.976
397.659,30.000,0.978
398.209,30.000,0.920
398.726,30.000,0.928
399.246,30.000,0.943
399.765,30.000,0.929
400.299,30.000,0.927
400.830,30.000,0.918
401.348,30.000,0.952
401.881,30.000,0.950
402.396,30.000,0.927
402.928,30.000,0.926
403.435,30.000,0.930
403.968,30.000,0.951
404.488,30.000,0.926
405.021,30.000,0.924
405.543,30.000,0.946
406.060,30.000,0.941
406.593,30.000,0.934
407.110,30.000,0.936
407.642,30.000,0.955
408.157,30.000,0.943
408.693,30.000,0.931
409.221,30.000,0.935
409.755,30.000,0.937
410.276,30.000,0.939
410.791,30.000,0.916
411.308,30.000,0.929
411.837,30.000,0.956
412.364,30.000,0.975
412.894,30.000,0.949
413.414,30.000,0.956
413.935,30.000,0.969
414.467,30.000,0.952
414.985,30.000,0.950
415.517,30.000,0.950
416.038,30.000,0.963
416.556,30.000,0.977
417.093,30.000,0.950
417.611,30.000,0.951
418.130,30.000,0.950
418.649,30.000,0.977
419.164,30.000,0.950
419.686,30.000,0.951
420.205,30.000,0.949
420.728,30.000,0.959
421.257,30.000,0.945
421.793,30.000,0.952
422.293,30.000,0.974
422.826,30.000,0.953
423.345,30.000,1.165
423.862,30.000,1.165
424.400,30.000,1.168
424.916,30.000,1.167
425.453,30.000,1.168
425.980,30.000,1.166
426.518,30.000,1.172
427.050,30.000,1.187
